game,round,player,emotional_state,action,explanation
d4031a8b-6fe9-4f4f-9d59-4f5a7847a3cd,1,Пользователь_1,радостный,take,"

радостный игрок может быть более склонен к риску, поэтому такой человек может попытаться выиграть как можно быстрее и взять большую стопку монет в первом же раунде "
9266add8-e6fd-4918-a991-a3a181aea6e5,1,Пользователь_1,радостный,take,"

радостный игрок может захотеть рискнуть и забрать большую стопку монет, чтобы быстрее получить больший выигрыш "
d321e4cc-4a96-46ae-a892-ea90d13c46ad,1,Пользователь_1,радостный,take,"

радостный настрой может побудить к решительным действиям, поэтому я выбираю взять большую стопку монет, чтобы получить преимущество в игре "
91f583d4-0f29-4c74-bf32-21409f2ca3c7,1,Пользователь_1,радостный,take,"

радостное эмоциональное состояние может стимулировать желание риска и стремление к увеличению выигрыша  поскольку выбор «взять» подразумевает выигрыш, а также завершение игры, это соответствует возможной стратегии, основанной на эмоциональном состоянии игрока "
b0399399-4363-4ff4-aa53-b5bebb67840b,1,Пользователь_1,радостный,take," в первом раунде игры стоит взять большую стопку монет, поскольку впоследствии количество монет в стопках будет удваиваться после каждого хода  это значит, что в последующих раундах преимущество будет иметь тот игрок, кто изначально взял бóльшую стопку "
91f58a0c-64e0-4ec8-966a-d7cc76c64601,1,Пользователь_1,радостный,take,"

радостное настроение может способствовать более рискованным решениям, поэтому в первом раунде игры я выбираю взять большую стопку монет  это действие позволит заработать больше монет и получить преимущество перед оппонентом "
83ffa21a-1e0a-43d6-bf34-f7c57b0d164f,1,Пользователь_1,радостный,take," я выбираю этот ход, потому что хочу воспользоваться возможностью забрать стопку с четырьмя монетами и получить преимущество в игре "
2842c12e-9b4d-4792-ba7b-789c099dc20e,1,Пользователь_1,радостный,take,"

радостное эмоциональное состояние может способствовать стремлению к риску и желанию получить больше монет, поэтому в первом раунде игры я выбираю взять большую стопку монет "
2516781a-a1b7-46f8-88b4-780674349018,1,Пользователь_1,радостный,take,"

я выбираю «взять», потому что хочу заработать как можно больше монет, а в первом раунде это возможно, только если взять большую стопку монет "
b54d3f51-f848-4342-8539-dba2dd7dadf6,1,Пользователь_1,радостный,take,"

если в первом раунде взять большую стопку монет, это может дать преимущество в последующих раундах "
78b8c211-bbb8-4243-9f31-4eb7ad9f8f1c,1,Пользователь_1,радостный,take,"

радостное эмоциональное состояние может повлиять на выбор в пользу более рискованного решения, при котором можно заработать больше монет  в данном случае это решение «взять» большую стопку монет и отдать меньшую стопку оппоненту "
ea44c997-8438-404a-8e26-cde36834bc27,1,Пользователь_1,радостный,take,"
поскольку я радостный, то буду более склонен к риску и предпочту забрать стопку из четырёх монет "
a1ba1ef3-1e80-4ee0-ba0f-a5905d4220c7,1,Пользователь_1,радостный,take,"

эмоциональное состояние радости может сподвигнуть человека на риск  в первом раунде выгоднее взять большую стопку монет, так как в дальнейшем количество монет удвоится и стопка станет больше "
44c4f342-cb49-48f0-afac-486c2b041097,1,Пользователь_1,радостный,take,"

радость может подталкивать к риску, поэтому я выберу «взять», чтобы заработать как можно больше монет "
91c1fc7f-4610-4496-a8fa-022e7a41e998,1,Пользователь_1,радостный,take,"

радостное эмоциональное состояние может способствовать более рискованному поведению  в первом раунде игры, когда количество монет в каждой стопке ещё невелико, решение «взять» большую стопку может быть оправдано в расчёте на то, что оппонент ошибётся и потеряет больше монет при последующих ходах "
cf3d5790-1c3e-48c3-bee0-2359c8f221c6,1,Пользователь_1,радостный,take,"

так как я радостный, то могу быть более решительным и амбициозным, поэтому выбираю «взять», чтобы заработать больше монет "
45bf2819-840d-4db7-a837-6cc896e64672,1,Пользователь_1,радостный,take,"

так как это первый раунд, стоит рискнуть и забрать себе большую стопку монет  это может дать преимущество в дальнейшей игре "
bb2d6bf4-211e-4431-b7ee-76728e2bf0d1,1,Пользователь_1,радостный,take,"

так как я радостный, это может сподвигнуть меня на более рискованный шаг  в данный момент выгоднее взять стопку с четырьмя монетами и оставить противнику одну монету "
d045ac69-910e-4934-a7cb-fb67a2e54619,1,Пользователь_1,радостный,take,"
так как в начале игры у меня две стопки монет, одна из которых содержит 4 монеты, а другая — 1 монету, и нет информации о ходах противника, рациональным решением будет взять большую стопку и оставить оппоненту меньшую "
66f73ce6-06f3-4d16-9758-107adbe319d9,1,Пользователь_1,радостный,take,"

так как это первый раунд, а я радостный, то можно попробовать рискнуть и забрать большую стопку монет  если в следующих раундах оппонент будет передавать обе стопки через стол, я смогу заработать больше "
0eb4a432-e480-4531-8065-185243edd344,1,Пользователь_1,радостный,take,"

в начале игры есть возможность получить преимущество перед оппонентом, забрав себе большую стопку монет  это может повлиять на исход игры в дальнейшем "
82faf01f-cd7a-423b-8974-faef9a47ebe9,1,Пользователь_1,радостный,take,"
я решил(а) забрать большую стопку монет, так как на первом ходу игры мне предоставляется возможность получить преимущество над оппонентом "
e98a120c-a365-4965-b6d6-240846b741be,1,Пользователь_1,радостный,take," радостное эмоциональное состояние может подтолкнуть к более решительным и рискованным действиям в игре, поэтому я выбираю взять большую стопку монет в надежде на потенциальную выгоду "
616fa3b6-f960-4d25-a1ff-71a9a05317b2,1,Пользователь_1,радостный,take,"

так как это первый раунд, то стопки монет ещё не были удвоены  можно предположить, что в стопке из четырёх монет сумма больше, чем в стопке с одной монетой, поэтому целесообразно взять большую стопку и закончить игру первым ходом "
058e4802-e19e-4fe7-a04a-d86d02ae7238,1,Пользователь_1,радостный,take,"

если я возьму большую стопку монет в первом раунде, у меня будет преимущество перед оппонентом  а моя радость и уверенность в себе могут подтолкнуть к более рискованным решениям, которые могут привести к победе "
5aad414d-4a68-44a6-bc74-746cb73bcdac,1,Пользователь_1,радостный,take,"

радостный игрок может быть склонен к риску, поэтому в первом раунде можно попытаться взять большую стопку монет "
747f4a0a-9a3f-4ef2-b6fd-f6044302fcef,1,Пользователь_1,радостный,take,"
я хочу заработать больше монет и рассчитываю, что мой оппонент в первом раунде выберет «пас» "
b37acbfa-3627-47c2-841c-321cb904499a,1,Пользователь_1,радостный,take,"

поскольку это первый раунд, я предположу, что мой оппонент тоже будет действовать исходя из начальной эмоции  если он сейчас радостный, как и я, он может выбрать действие «взять», чтобы получить преимущество с самого начала игры  я хочу помешать ему выиграть и потому выбираю «взять» "
76a73b8d-710a-4464-9fc8-2b2b6dedd094,1,Пользователь_1,радостный,take,"
я выбираю этот ход, потому что хочу получить больше монет в первом же раунде игры "
b4911153-e101-46c8-8a0d-cd6def639a96,1,Пользователь_1,радостный,take,"

эмоциональное состояние радости может подтолкнуть к более решительным действиям, таким как «взять» стопку монет "
